# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
0.001           	p               	-8.62321741e+00	(4.16666667e-03 9.95833333e-01 5.00000000e-01)	9.28807438e+00	(9.95833333e-01 9.95833333e-01 5.00000000e-01)
0.001           	U               	(-7.05912205e-06 7.05889774e-06 0.00000000e+00)	(4.16666667e-03 4.16666667e-03 5.00000000e-01)	(-7.05912205e-06 7.05889774e-06 0.00000000e+00)	(4.16666667e-03 4.16666667e-03 5.00000000e-01)
0.002           	p               	-4.43827167e+00	(4.16666667e-03 9.95833333e-01 5.00000000e-01)	4.68490416e+00	(9.95833333e-01 9.95833333e-01 5.00000000e-01)
0.002           	U               	(-9.60847764e-06 9.60720100e-06 0.00000000e+00)	(4.16666667e-03 4.16666667e-03 5.00000000e-01)	(-9.60847764e-06 9.60720100e-06 0.00000000e+00)	(4.16666667e-03 4.16666667e-03 5.00000000e-01)
0.003           	p               	-5.17485525e+00	(4.16666667e-03 9.95833333e-01 5.00000000e-01)	5.55756365e+00	(9.95833333e-01 9.95833333e-01 5.00000000e-01)
0.003           	U               	(-1.01962518e-05 1.01936964e-05 0.00000000e+00)	(4.16666667e-03 4.16666667e-03 5.00000000e-01)	(-1.01962518e-05 1.01936964e-05 0.00000000e+00)	(4.16666667e-03 4.16666667e-03 5.00000000e-01)
0.004           	p               	-4.36430573e+00	(4.16666667e-03 9.95833333e-01 5.00000000e-01)	4.69857243e+00	(9.95833333e-01 9.95833333e-01 5.00000000e-01)
0.004           	U               	(-9.33330491e-06 9.33094206e-06 0.00000000e+00)	(4.16666667e-03 4.16666667e-03 5.00000000e-01)	(-9.33330491e-06 9.33094206e-06 0.00000000e+00)	(4.16666667e-03 4.16666667e-03 5.00000000e-01)
0.005           	p               	-4.24636611e+00	(4.16666667e-03 9.95833333e-01 5.00000000e-01)	4.61387348e+00	(9.95833333e-01 9.95833333e-01 5.00000000e-01)
0.005           	U               	(-8.00174974e-06 7.99887829e-06 0.00000000e+00)	(4.16666667e-03 4.16666667e-03 5.00000000e-01)	(-8.00174974e-06 7.99887829e-06 0.00000000e+00)	(4.16666667e-03 4.16666667e-03 5.00000000e-01)
