# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
0.01            	p               	-2.23545174e+00	(1.25000000e-02 9.87500000e-01 4.50000000e-01)	2.46428452e+00	(9.87500000e-01 9.87500000e-01 5.50000000e-01)
0.01            	U               	(-2.90216327e-02 -3.11542356e-02 -8.70003617e-02)	(9.37500000e-01 9.37500000e-01 5.00000000e-02)	(1.34252597e-01 4.72079837e-02 1.13235996e-01)	(1.25000000e-02 9.87500000e-01 5.00000000e-02)
0.02            	p               	-1.14981823e+00	(1.25000000e-02 9.87500000e-01 8.50000000e-01)	1.24569253e+00	(9.87500000e-01 9.87500000e-01 1.50000000e-01)
0.02            	U               	(-5.48683670e-02 -6.14377142e-02 -2.05569829e-02)	(9.37500000e-01 9.37500000e-01 5.00000000e-02)	(2.12524119e-01 8.94348917e-02 4.65242324e-02)	(1.25000000e-02 9.87500000e-01 5.00000000e-02)
0.03            	p               	-1.37110900e+00	(1.25000000e-02 9.87500000e-01 5.50000000e-01)	1.56395563e+00	(9.87500000e-01 9.87500000e-01 4.50000000e-01)
0.03            	U               	(-7.38474109e-02 -8.79708154e-02 -3.20930421e-02)	(9.37500000e-01 9.37500000e-01 5.00000000e-02)	(2.50709124e-01 1.18420956e-01 5.54839051e-02)	(1.25000000e-02 9.87500000e-01 5.00000000e-02)
0.04            	p               	-1.13796031e+00	(1.25000000e-02 9.87500000e-01 1.50000000e-01)	1.33776206e+00	(9.87500000e-01 9.87500000e-01 8.50000000e-01)
0.04            	U               	(-8.66429982e-02 -1.11629842e-01 -2.22821030e-02)	(9.37500000e-01 9.37500000e-01 5.00000000e-02)	(2.67017677e-01 1.35729227e-01 4.60584237e-02)	(1.25000000e-02 9.87500000e-01 5.00000000e-02)
0.05            	p               	-1.12017960e+00	(1.25000000e-02 9.87500000e-01 8.50000000e-01)	1.36341206e+00	(9.87500000e-01 9.87500000e-01 1.50000000e-01)
0.05            	U               	(-9.39609447e-02 -1.32720679e-01 -2.27649020e-02)	(9.37500000e-01 9.37500000e-01 5.00000000e-02)	(2.73214746e-01 1.44866316e-01 4.53377656e-02)	(1.25000000e-02 9.87500000e-01 5.00000000e-02)
0.06            	p               	-1.05056614e+00	(1.25000000e-02 9.87500000e-01 1.50000000e-01)	1.31261796e+00	(9.87500000e-01 9.87500000e-01 8.50000000e-01)
0.06            	U               	(-1.01714074e-01 -1.04822989e-01 -1.59243766e-02)	(9.12500000e-01 9.12500000e-01 5.00000000e-02)	(2.75264037e-01 1.49172063e-01 4.25198497e-02)	(1.25000000e-02 9.87500000e-01 5.00000000e-02)
0.07            	p               	-1.02273120e+00	(1.25000000e-02 9.87500000e-01 1.50000000e-01)	1.30903324e+00	(9.87500000e-01 9.87500000e-01 1.50000000e-01)
0.07            	U               	(-1.09696653e-01 -1.17025926e-01 -1.52689849e-02)	(9.12500000e-01 9.12500000e-01 5.00000000e-02)	(2.75778663e-01 1.50911187e-01 4.13924455e-02)	(1.25000000e-02 9.87500000e-01 5.00000000e-02)
0.08            	p               	-9.91356833e-01	(1.25000000e-02 9.87500000e-01 1.50000000e-01)	1.29685377e+00	(9.87500000e-01 9.87500000e-01 8.50000000e-01)
0.08            	U               	(-1.15562496e-01 -1.28418665e-01 -1.42432828e-02)	(9.12500000e-01 9.12500000e-01 5.00000000e-02)	(2.75781735e-01 1.51434220e-01 4.01217755e-02)	(1.25000000e-02 9.87500000e-01 5.00000000e-02)
