"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,0,0,22,-36.585,0
0.00023685,3.0002,-9.5801e-22,1.6976,1,0.069049,22.008,-36.516,0
0.00095684,3.0008,-3.8717e-21,1.6957,1,0.1381,22.016,-36.448,0
0.001655,3.0014,-6.6994e-21,1.6938,1,0.20715,22.024,-36.379,0
0.0023314,3.0021,-9.4411e-21,1.692,1,0.2762,22.032,-36.311,0
0.002986,3.0027,-1.2097e-20,1.6901,1,0.34525,22.04,-36.242,0
0.0036189,3.0033,-1.4668e-20,1.6882,1,0.4143,22.048,-36.173,0
0.0042301,3.0039,-1.7153e-20,1.6864,1,0.48335,22.056,-36.105,0
0.0048198,3.0045,-1.9553e-20,1.6846,1,0.5524,22.064,-36.036,0
0.0053878,3.0052,-2.1868e-20,1.6827,1,0.62145,22.072,-35.968,0
0.0059343,3.0058,-2.4098e-20,1.6809,1,0.6905,22.08,-35.899,0
0.0064593,3.0064,-2.6243e-20,1.6791,1,0.75955,22.088,-35.831,0
0.0069629,3.007,-2.8304e-20,1.6773,1,0.8286,22.096,-35.762,0
0.0074273,3.0077,-3.0064e-20,1.6754,1,0.89765,22.104,-35.693,0
0.0074855,3.0089,-2.7074e-20,1.6712,1,0.9667,22.112,-35.625,0
0.0075319,3.0102,-2.4169e-20,1.6669,1,1.0357,22.12,-35.556,0
0.0075665,3.0115,-2.1352e-20,1.6627,1,1.1048,22.128,-35.488,0
0.0075893,3.0127,-1.8621e-20,1.6585,1,1.1738,22.136,-35.419,0
0.0076004,3.014,-1.5977e-20,1.6544,1,1.2429,22.144,-35.35,0
0.0076016,3.0153,-1.3228e-20,1.6503,1,1.312,22.152,-35.282,0
0.0075921,3.0165,-1.0579e-20,1.6462,1,1.381,22.16,-35.213,0
0.0075707,3.0178,-8.1541e-21,1.6422,1,1.45,22.168,-35.145,0
0.0075374,3.0191,-5.9541e-21,1.6381,1,1.5191,22.176,-35.076,0
0.0074923,3.0204,-3.9782e-21,1.6341,1,1.5881,22.184,-35.008,0
0.0074354,3.0216,-2.2261e-21,1.6301,1,1.6572,22.192,-34.939,0
0.0073666,3.0229,-6.9729e-22,1.626,1,1.7262,22.2,-34.87,0
0.0072497,3.0245,8.9617e-22,1.6211,1,1.7953,22.208,-34.802,0
0.0071039,3.0262,2.5374e-21,1.6157,1,1.8644,22.216,-34.733,0
0.0069558,3.028,4.0504e-21,1.6102,1,1.9334,22.224,-34.665,0
0.0068055,3.0297,5.4355e-21,1.6047,1,2.0024,22.232,-34.596,0
0.0066529,3.0314,6.6928e-21,1.5992,1,2.0715,22.24,-34.527,0
0.0064982,3.0332,7.8227e-21,1.5937,1,2.1405,22.248,-34.459,0
0.0063411,3.0349,8.8251e-21,1.5882,1,2.2096,22.256,-34.39,0
0.0061819,3.0366,9.7006e-21,1.5827,1,2.2787,22.264,-34.322,0
0.0060204,3.0383,1.0449e-20,1.5772,1,2.3477,22.272,-34.253,0
0.0058567,3.04,1.1071e-20,1.5718,1,2.4167,22.28,-34.185,0
0.0056908,3.0418,1.1567e-20,1.5663,1,2.4858,22.288,-34.116,0
0.0055227,3.0435,1.1936e-20,1.5608,1,2.5548,22.296,-34.047,0
0.0053524,3.0452,1.2179e-20,1.5553,1,2.6239,22.304,-33.979,0
0.0050961,3.0472,7.1486e-21,1.5491,1,2.6929,22.312,-33.91,0
0.0048376,3.0492,2.1358e-21,1.543,1,2.762,22.32,-33.842,0
0.0045793,3.0512,-2.7121e-21,1.5368,1,2.831,22.328,-33.773,0
0.0043212,3.0531,-7.3956e-21,1.5306,1,2.9001,22.336,-33.704,0
0.0040633,3.0551,-1.1915e-20,1.5244,1,2.9691,22.344,-33.636,0
0.0038056,3.0571,-1.627e-20,1.5182,1,3.0382,22.352,-33.567,0
0.0035481,3.0591,-2.0462e-20,1.5121,1,3.1072,22.36,-33.499,0
0.0032908,3.0611,-2.449e-20,1.5059,1,3.1763,22.368,-33.43,0
0.0030337,3.0631,-2.8355e-20,1.4997,1,3.2454,22.376,-33.362,0
0.0027767,3.0651,-3.2057e-20,1.4935,1,3.3144,22.384,-33.293,0
0.00252,3.0671,-3.5597e-20,1.4873,1,3.3834,22.392,-33.224,0
0.0022634,3.0691,-3.8974e-20,1.4812,1,3.4525,22.4,-33.156,0
0.0020056,3.0711,-4.0484e-20,1.475,1,3.5215,22.408,-33.087,0
0.0017417,3.0731,-3.3777e-20,1.4687,1,3.5906,22.416,-33.019,0
0.0014792,3.0751,-2.7087e-20,1.4624,1,3.6597,22.424,-32.95,0
0.0012181,3.0771,-2.0413e-20,1.4561,1,3.7287,22.432,-32.881,0
0.00095823,3.0792,-1.3757e-20,1.4498,1,3.7977,22.44,-32.813,0
0.00069983,3.0812,-7.1166e-21,1.4435,1,3.8668,22.448,-32.744,0
0.00044279,3.0832,-4.9321e-22,1.4372,1,3.9358,22.456,-32.676,0
0.00018707,3.0852,6.1135e-21,1.4309,1,4.0049,22.464,-32.607,0
-6.724e-05,3.0872,1.2704e-20,1.4246,1,4.0739,22.472,-32.538,0
-0.00032019,3.0892,1.9278e-20,1.4183,1,4.143,22.48,-32.47,0
-0.00057184,3.0913,2.5835e-20,1.412,1,4.2121,22.488,-32.401,0
-0.00082207,3.0933,3.2376e-20,1.4058,1,4.2811,22.496,-32.333,0
-0.001071,3.0953,3.89e-20,1.3995,1,4.3501,22.504,-32.264,0
-0.0013191,3.0973,4.4254e-20,1.3932,1,4.4192,22.512,-32.196,0
-0.0015691,3.0992,4.4762e-20,1.3871,1,4.4882,22.52,-32.127,0
-0.0018193,3.1012,4.53e-20,1.381,1,4.5573,22.528,-32.058,0
-0.0020697,3.1031,4.5868e-20,1.3749,1,4.6263,22.536,-31.99,0
-0.0023202,3.1051,4.6467e-20,1.3688,1,4.6954,22.544,-31.921,0
-0.0025709,3.107,4.7096e-20,1.3626,1,4.7644,22.552,-31.853,0
-0.0028218,3.1089,4.7755e-20,1.3565,1,4.8335,22.56,-31.784,0
-0.0030728,3.1109,4.8445e-20,1.3504,1,4.9025,22.568,-31.715,0
-0.0033101,3.1129,4.8658e-20,1.3443,1,4.9716,22.576,-31.647,0
-0.0035431,3.1149,4.859e-20,1.3382,1,5.0406,22.584,-31.578,0
-0.0037761,3.1169,4.8381e-20,1.3321,1,5.1097,22.592,-31.51,0
-0.0040093,3.1189,4.803e-20,1.326,1,5.1787,22.6,-31.441,0
-0.0042425,3.1209,4.7538e-20,1.3199,1,5.2478,22.608,-31.373,0
-0.0044753,3.1229,4.6785e-20,1.3138,1,5.3168,22.616,-31.304,0
-0.0046837,3.1248,4.0252e-20,1.3079,1,5.3859,22.624,-31.235,0
-0.0048931,3.1267,3.3973e-20,1.3021,1,5.4549,22.632,-31.167,0
-0.0051035,3.1286,2.7946e-20,1.2963,1,5.524,22.64,-31.098,0
-0.0053151,3.1305,2.217e-20,1.2904,1,5.593,22.648,-31.03,0
-0.0055277,3.1324,1.6647e-20,1.2846,1,5.6621,22.656,-30.961,0
-0.0057413,3.1343,1.1375e-20,1.2788,1,5.7311,22.664,-30.892,0
-0.005956,3.1362,6.3536e-21,1.2729,1,5.8002,22.672,-30.824,0
-0.0061718,3.1381,1.5831e-21,1.2671,1,5.8692,22.68,-30.755,0
-0.0063886,3.1399,-2.9374e-21,1.2613,1,5.9383,22.688,-30.687,0
-0.0066065,3.1418,-7.2078e-21,1.2554,1,6.0073,22.696,-30.618,0
-0.0068254,3.1437,-1.1229e-20,1.2496,1,6.0764,22.704,-30.55,0
-0.0070454,3.1456,-1.5e-20,1.2437,1,6.1454,22.712,-30.481,0
-0.0072664,3.1475,-1.8524e-20,1.2379,1,6.2145,22.72,-30.412,0
-0.0074698,3.1494,-1.8153e-20,1.2322,1,6.2835,22.728,-30.344,0
-0.0076643,3.1512,-1.5853e-20,1.2266,1,6.3526,22.736,-30.275,0
-0.0078604,3.153,-1.3679e-20,1.2209,1,6.4216,22.744,-30.207,0
-0.0080579,3.1549,-1.1631e-20,1.2153,1,6.4907,22.752,-30.138,0
-0.0082569,3.1567,-9.7091e-21,1.2096,1,6.5597,22.76,-30.069,0
-0.0084573,3.1586,-7.9128e-21,1.204,1,6.6288,22.768,-30.001,0
-0.0086593,3.1604,-6.242e-21,1.1983,1,6.6978,22.776,-29.932,0
-0.0088627,3.1622,-4.6965e-21,1.1927,1,6.7669,22.784,-29.864,0
-0.0090675,3.1641,-3.2761e-21,1.187,1,6.8359,22.792,-29.795,0
-0.0092738,3.1659,-1.9807e-21,1.1813,1,6.905,22.8,-29.726,0
-0.0094817,3.1677,-8.1002e-22,1.1757,1,6.974,22.808,-29.658,0
-0.0096909,3.1696,2.3604e-22,1.17,1,7.0431,22.816,-29.589,0
-0.0099016,3.1714,1.1577e-21,1.1643,1,7.1121,22.824,-29.521,0
-0.010105,3.1733,1.9163e-21,1.1587,1,7.1812,22.832,-29.452,0
-0.010205,3.1751,2.1289e-21,1.153,1,7.2502,22.84,-29.384,0
-0.010304,3.1769,2.3426e-21,1.1474,1,7.3193,22.848,-29.315,0
-0.010402,3.1786,2.5573e-21,1.1417,1,7.3883,22.856,-29.246,0
-0.010501,3.1804,2.7731e-21,1.1361,1,7.4574,22.864,-29.178,0
-0.010599,3.1822,2.99e-21,1.1304,1,7.5264,22.872,-29.109,0
-0.010697,3.184,3.2079e-21,1.1247,1,7.5955,22.88,-29.041,0
-0.010794,3.1858,3.4269e-21,1.119,1,7.6645,22.888,-28.972,0
-0.010892,3.1876,3.647e-21,1.1133,1,7.7336,22.896,-28.903,0
-0.010989,3.1894,3.8681e-21,1.1076,1,7.8026,22.904,-28.835,0
